Date,Station,Category,Value
2002-01-01,Changi,Min Temperature,24.00
2002-01-02,Changi,Min Temperature,24.00
2002-01-03,Changi,Min Temperature,24.00
2002-01-03,Changi,Min Humidity,51.98
2002-01-04,Changi,Min Temperature,24.00
2002-01-10,Changi,Max Humidity,100.00
2002-01-10,Changi,Min Temperature,24.00
2002-01-11,Changi,Max Humidity,100.00
2002-01-12,Changi,Max Humidity,100.00
2002-01-16,Changi,Min Temperature,24.00
2002-01-16,Changi,Max Humidity,100.00
2002-01-16,Changi,Max Temperature,32.00
2002-01-17,Changi,Max Temperature,32.00
2002-01-18,Changi,Max Temperature,32.00
2002-01-19,Changi,Max Temperature,32.00
2002-01-22,Changi,Max Humidity,100.00
2002-01-23,Changi,Min Temperature,24.00
2002-01-23,Changi,Max Humidity,100.00
2002-01-24,Changi,Max Humidity,100.00
2002-01-24,Changi,Min Temperature,24.00
2002-01-25,Changi,Min Temperature,24.00
2002-01-25,Changi,Max Humidity,100.00
2002-01-26,Changi,Max Humidity,100.00
2002-01-27,Changi,Max Humidity,100.00
