Date,Station,Category,Value
2009-01-01,Changi,Max Humidity,100.00
2009-01-02,Changi,Max Humidity,100.00
2009-01-02,Changi,Min Temperature,24.00
2009-01-11,Changi,Min Temperature,24.00
2009-01-12,Changi,Min Temperature,24.00
2009-01-16,Changi,Min Temperature,24.00
2009-01-17,Changi,Min Temperature,24.00
2009-01-19,Changi,Min Temperature,24.00
2009-01-20,Changi,Min Temperature,24.00
2009-01-21,Changi,Min Humidity,48.84
2009-01-21,Changi,Min Temperature,24.00
2009-01-22,Changi,Min Temperature,24.00
2009-01-23,Changi,Min Temperature,24.00
2009-01-26,Changi,Max Humidity,100.00
2009-01-27,Changi,Min Temperature,24.00
2009-01-28,Changi,Max Temperature,33.00
2009-01-28,Changi,Min Temperature,24.00
2009-01-29,Changi,Min Temperature,24.00
2009-02-02,Changi,Min Temperature,24.00
2009-02-03,Changi,Min Temperature,24.00
2009-02-04,Changi,Min Temperature,24.00
2009-02-05,Changi,Min Temperature,24.00
2009-02-06,Changi,Min Temperature,24.00
2009-02-07,Changi,Min Temperature,24.00
2009-02-08,Changi,Min Temperature,24.00
2009-02-09,Changi,Min Temperature,24.00
2009-02-10,Changi,Min Temperature,24.00
2009-02-15,Changi,Max Humidity,100.00
2009-02-15,Changi,Max Temperature,35.00
2009-02-15,Changi,Min Humidity,41.23
2009-02-22,Changi,Max Humidity,100.00
2009-02-22,Changi,Min Temperature,24.00
2009-02-23,Changi,Max Humidity,100.00
2009-02-24,Changi,Max Humidity,100.00
2009-02-24,Changi,Min Temperature,24.00
2009-02-25,Changi,Max Humidity,100.00
2009-02-25,Changi,Min Temperature,24.00
2009-02-26,Changi,Max Humidity,100.00
2009-02-27,Changi,Max Humidity,100.00
2009-02-28,Changi,Max Humidity,100.00
2009-02-28,Changi,Min Temperature,24.00
2009-03-01,Changi,Max Humidity,100.00
2009-03-02,Changi,Max Humidity,100.00
2009-03-03,Changi,Max Humidity,100.00
2009-03-04,Changi,Max Humidity,100.00
2009-03-04,Changi,Max Temperature,33.00
2009-03-05,Changi,Max Humidity,100.00
2009-03-06,Changi,Max Humidity,100.00
2009-03-07,Changi,Max Humidity,100.00
2009-03-07,Changi,Min Temperature,23.00
2009-03-08,Changi,Max Humidity,100.00
2009-03-09,Changi,Max Humidity,100.00
2009-03-10,Changi,Max Humidity,100.00
2009-03-10,Changi,Min Humidity,52.23
2009-03-10,Changi,Min Temperature,23.00
2009-03-12,Changi,Max Humidity,100.00
2009-03-13,Changi,Max Humidity,100.00
2009-03-15,Changi,Max Humidity,100.00
2009-03-16,Changi,Max Humidity,100.00
2009-03-17,Changi,Max Humidity,100.00
2009-03-18,Changi,Max Humidity,100.00
2009-03-18,Changi,Min Temperature,23.00
2009-03-21,Changi,Max Humidity,100.00
2009-03-23,Changi,Max Humidity,100.00
2009-03-26,Changi,Max Humidity,100.00
2009-03-28,Changi,Max Temperature,33.00
2009-03-29,Changi,Max Humidity,100.00
2009-03-29,Changi,Max Temperature,33.00
2009-03-30,Changi,Max Temperature,33.00
2009-04-02,Changi,Max Humidity,100.00
2009-04-06,Changi,Max Humidity,100.00
2009-04-07,Changi,Max Humidity,100.00
2009-04-08,Changi,Max Humidity,100.00
