Date,Station,Category,Value
2010-01-01,Paya Lebar,Max Temperature,33.00
2010-01-05,Paya Lebar,Max Temperature,33.00
2010-01-06,Paya Lebar,Max Temperature,33.00
2010-01-10,Paya Lebar,Min Humidity,66.55
2010-01-11,Paya Lebar,Max Temperature,33.00
2010-01-16,Paya Lebar,Min Humidity,66.55
2010-01-17,Paya Lebar,Max Temperature,33.00
2010-01-19,Paya Lebar,Max Humidity,100.00
2010-01-20,Paya Lebar,Max Humidity,100.00
2010-01-22,Paya Lebar,Max Humidity,100.00
2010-01-22,Paya Lebar,Min Temperature,23.00
2010-01-23,Paya Lebar,Max Humidity,100.00
2010-01-23,Paya Lebar,Max Temperature,33.00
2010-01-24,Paya Lebar,Max Temperature,33.00
2010-01-26,Paya Lebar,Max Temperature,33.00
2010-01-27,Paya Lebar,Max Humidity,100.00
2010-01-30,Paya Lebar,Max Temperature,33.00
2010-02-02,Paya Lebar,Min Temperature,25.00
2010-02-18,Paya Lebar,Max Humidity,94.35
2010-02-19,Paya Lebar,Min Temperature,25.00
2010-02-24,Paya Lebar,Max Temperature,35.00
2010-02-24,Paya Lebar,Min Humidity,44.14
2010-03-02,Paya Lebar,Max Temperature,35.00
2010-03-03,Paya Lebar,Max Temperature,35.00
2010-03-05,Paya Lebar,Max Temperature,35.00
2010-03-06,Paya Lebar,Max Temperature,35.00
2010-03-07,Paya Lebar,Max Temperature,35.00
2010-03-08,Paya Lebar,Max Temperature,35.00
2010-03-17,Paya Lebar,Min Humidity,46.41
2010-03-18,Paya Lebar,Min Temperature,25.00
2010-03-19,Paya Lebar,Min Temperature,25.00
2010-03-20,Paya Lebar,Min Temperature,25.00
2010-03-21,Paya Lebar,Min Temperature,25.00
2010-03-23,Paya Lebar,Min Temperature,25.00
2010-03-25,Paya Lebar,Max Temperature,35.00
2010-03-25,Paya Lebar,Min Temperature,25.00
2010-03-29,Paya Lebar,Max Humidity,100.00
2010-04-04,Paya Lebar,Max Humidity,100.00
2010-04-04,Paya Lebar,Min Temperature,23.00
2010-04-06,Paya Lebar,Min Humidity,49.87
2010-04-12,Paya Lebar,Max Temperature,36.00
2010-04-14,Paya Lebar,Max Humidity,100.00
2010-04-14,Paya Lebar,Min Humidity,49.87
2010-04-15,Paya Lebar,Max Humidity,100.00
2010-05-01,Paya Lebar,Max Temperature,36.00
2010-05-01,Paya Lebar,Min Humidity,44.41
2010-05-07,Paya Lebar,Max Temperature,36.00
2010-05-16,Paya Lebar,Max Temperature,36.00
2010-05-16,Paya Lebar,Min Temperature,24.00
2010-05-19,Paya Lebar,Max Humidity,94.31
2010-05-20,Paya Lebar,Max Temperature,36.00
2010-06-01,Paya Lebar,Min Humidity,49.36
2010-06-11,Paya Lebar,Max Temperature,34.00
2010-06-13,Paya Lebar,Max Temperature,34.00
2010-06-14,Paya Lebar,Min Temperature,24.00
2010-06-15,Paya Lebar,Min Temperature,24.00
2010-06-16,Paya Lebar,Max Humidity,100.00
2010-06-16,Paya Lebar,Min Temperature,24.00
2010-06-25,Paya Lebar,Min Temperature,24.00
2010-07-02,Paya Lebar,Max Humidity,100.00
2010-07-07,Paya Lebar,Max Temperature,35.00
2010-07-07,Paya Lebar,Min Humidity,46.93
2010-07-17,Paya Lebar,Max Humidity,100.00
2010-07-17,Paya Lebar,Min Temperature,23.00
2010-07-22,Paya Lebar,Max Humidity,100.00
2010-08-01,Paya Lebar,Min Temperature,23.00
2010-08-17,Paya Lebar,Max Temperature,34.00
2010-08-20,Paya Lebar,Max Humidity,100.00
2010-08-20,Paya Lebar,Min Temperature,23.00
2010-08-26,Paya Lebar,Max Temperature,34.00
2010-08-28,Paya Lebar,Max Temperature,34.00
2010-08-28,Paya Lebar,Min Humidity,46.67
2010-09-05,Paya Lebar,Max Humidity,100.00
2010-09-05,Paya Lebar,Min Temperature,23.00
2010-09-08,Paya Lebar,Max Humidity,100.00
2010-09-14,Paya Lebar,Max Temperature,34.00
2010-09-14,Paya Lebar,Min Humidity,46.41
2010-10-03,Paya Lebar,Max Humidity,100.00
2010-10-15,Paya Lebar,Max Temperature,35.00
2010-10-15,Paya Lebar,Min Humidity,41.50
2010-10-16,Paya Lebar,Max Temperature,35.00
2010-10-29,Paya Lebar,Max Humidity,100.00
2010-10-30,Paya Lebar,Min Temperature,22.00
2010-11-03,Paya Lebar,Max Temperature,34.00
2010-11-03,Paya Lebar,Min Humidity,49.62
2010-11-06,Paya Lebar,Max Temperature,34.00
2010-11-07,Paya Lebar,Min Temperature,24.00
2010-11-10,Paya Lebar,Max Temperature,34.00
2010-11-14,Paya Lebar,Max Humidity,100.00
2010-11-14,Paya Lebar,Min Temperature,24.00
2010-11-15,Paya Lebar,Min Temperature,24.00
2010-11-16,Paya Lebar,Max Temperature,34.00
2010-11-17,Paya Lebar,Max Humidity,100.00
2010-11-24,Paya Lebar,Min Temperature,24.00
2010-11-25,Paya Lebar,Max Humidity,100.00
2010-11-25,Paya Lebar,Min Temperature,24.00
2010-11-26,Paya Lebar,Min Temperature,24.00
2010-11-27,Paya Lebar,Max Temperature,34.00
2010-11-27,Paya Lebar,Min Humidity,49.62
2010-11-28,Paya Lebar,Max Temperature,34.00
2010-11-29,Paya Lebar,Min Temperature,24.00
2010-11-30,Paya Lebar,Max Humidity,100.00
2010-11-30,Paya Lebar,Min Temperature,24.00
2010-12-02,Paya Lebar,Max Humidity,100.00
2010-12-04,Paya Lebar,Min Temperature,23.00
2010-12-05,Paya Lebar,Max Temperature,34.00
2010-12-05,Paya Lebar,Min Humidity,49.36
2010-12-25,Paya Lebar,Min Temperature,23.00
2020-01-07,Paya Lebar,Max Humidity,100.00
2020-01-07,Paya Lebar,Min Temperature,24.00
2020-01-12,Paya Lebar,Max Temperature,34.00
2020-01-12,Paya Lebar,Min Humidity,49.62
2020-01-17,Paya Lebar,Max Temperature,34.00
2020-01-28,Paya Lebar,Max Temperature,34.00
2020-01-29,Paya Lebar,Max Humidity,100.00
2020-01-30,Paya Lebar,Max Humidity,100.00
2020-01-30,Paya Lebar,Min Temperature,24.00
2020-02-08,Paya Lebar,Min Humidity,49.10
2020-02-10,Paya Lebar,Min Temperature,24.00
2020-02-12,Paya Lebar,Max Humidity,100.00
2020-02-14,Paya Lebar,Max Temperature,34.00
2020-02-15,Paya Lebar,Max Temperature,34.00
2020-02-17,Paya Lebar,Max Temperature,34.00
2020-03-01,Paya Lebar,Min Temperature,26.00
2020-03-03,Paya Lebar,Min Temperature,26.00
2020-03-08,Paya Lebar,Max Humidity,94.31
2020-03-09,Paya Lebar,Min Temperature,26.00
2020-03-13,Paya Lebar,Max Temperature,36.00
2020-03-13,Paya Lebar,Min Humidity,44.41
2020-03-13,Paya Lebar,Min Temperature,26.00
2020-03-23,Paya Lebar,Min Temperature,26.00
2020-03-24,Paya Lebar,Min Temperature,26.00
2020-04-03,Paya Lebar,Min Temperature,25.00
2020-04-07,Paya Lebar,Min Temperature,25.00
2020-04-08,Paya Lebar,Min Temperature,25.00
2020-04-19,Paya Lebar,Max Temperature,36.00
2020-04-19,Paya Lebar,Min Humidity,47.19
2020-04-30,Paya Lebar,Max Humidity,100.00
2020-05-01,Paya Lebar,Max Humidity,100.00
2020-05-02,Paya Lebar,Max Humidity,100.00
2020-05-05,Paya Lebar,Max Temperature,35.00
2020-05-06,Paya Lebar,Min Temperature,24.00
2020-05-07,Paya Lebar,Min Humidity,49.62
2020-05-08,Paya Lebar,Max Humidity,100.00
2020-05-11,Paya Lebar,Max Humidity,100.00
2020-05-14,Paya Lebar,Max Temperature,35.00
2020-05-25,Paya Lebar,Max Temperature,35.00
2020-05-27,Paya Lebar,Max Humidity,100.00
2020-05-28,Paya Lebar,Max Temperature,35.00
2020-06-01,Paya Lebar,Max Humidity,100.00
2020-06-04,Paya Lebar,Min Humidity,55.77
2020-06-07,Paya Lebar,Min Humidity,55.77
2020-06-11,Paya Lebar,Max Temperature,34.00
2020-06-20,Paya Lebar,Max Humidity,100.00
2020-06-21,Paya Lebar,Max Humidity,100.00
2020-06-23,Paya Lebar,Max Humidity,100.00
2020-06-23,Paya Lebar,Min Temperature,23.00
2020-06-24,Paya Lebar,Max Humidity,100.00
2020-07-16,Paya Lebar,Max Temperature,33.00
2020-07-17,Paya Lebar,Max Temperature,33.00
2020-07-17,Paya Lebar,Min Humidity,52.48
2020-07-20,Paya Lebar,Max Temperature,33.00
2020-07-27,Paya Lebar,Max Humidity,100.00
2020-07-27,Paya Lebar,Min Temperature,24.00
2020-08-07,Paya Lebar,Max Temperature,34.00
2020-08-13,Paya Lebar,Max Humidity,100.00
2020-08-13,Paya Lebar,Min Humidity,49.36
2020-08-13,Paya Lebar,Min Temperature,24.00
2020-08-14,Paya Lebar,Min Temperature,24.00
2020-08-17,Paya Lebar,Max Humidity,100.00
2020-08-17,Paya Lebar,Min Temperature,24.00
2020-08-23,Paya Lebar,Max Humidity,100.00
2020-08-23,Paya Lebar,Min Temperature,24.00
2020-09-11,Paya Lebar,Min Humidity,52.48
2020-09-13,Paya Lebar,Max Humidity,100.00
2020-09-14,Paya Lebar,Max Humidity,100.00
2020-09-16,Paya Lebar,Max Humidity,100.00
2020-09-16,Paya Lebar,Min Temperature,22.00
2020-09-17,Paya Lebar,Max Temperature,34.00
2020-09-19,Paya Lebar,Min Humidity,52.48
2020-09-23,Paya Lebar,Max Temperature,34.00
2020-10-01,Paya Lebar,Max Humidity,94.27
2020-10-03,Paya Lebar,Min Temperature,25.00
2020-10-10,Paya Lebar,Min Temperature,25.00
2020-10-11,Paya Lebar,Min Temperature,25.00
2020-10-17,Paya Lebar,Max Temperature,34.00
2020-10-18,Paya Lebar,Min Temperature,25.00
2020-10-21,Paya Lebar,Max Humidity,94.27
2020-10-22,Paya Lebar,Min Temperature,25.00
2020-10-24,Paya Lebar,Max Humidity,94.27
2020-10-25,Paya Lebar,Min Humidity,49.36
2020-10-25,Paya Lebar,Min Temperature,25.00
2020-10-27,Paya Lebar,Max Temperature,34.00
2020-10-29,Paya Lebar,Max Humidity,94.27
2020-10-30,Paya Lebar,Max Humidity,94.27
2020-10-30,Paya Lebar,Max Temperature,34.00
2020-10-31,Paya Lebar,Max Humidity,94.27
2020-11-02,Paya Lebar,Max Humidity,100.00
2020-11-02,Paya Lebar,Min Temperature,24.00
2020-11-07,Paya Lebar,Max Humidity,100.00
2020-11-10,Paya Lebar,Max Humidity,100.00
2020-11-12,Paya Lebar,Max Temperature,35.00
2020-11-12,Paya Lebar,Min Humidity,49.87
2020-11-16,Paya Lebar,Max Humidity,100.00
2020-11-28,Paya Lebar,Min Temperature,24.00
2020-12-01,Paya Lebar,Max Temperature,34.00
2020-12-03,Paya Lebar,Max Humidity,100.00
2020-12-03,Paya Lebar,Max Temperature,34.00
2020-12-08,Paya Lebar,Max Temperature,34.00
2020-12-12,Paya Lebar,Max Humidity,100.00
2020-12-12,Paya Lebar,Min Temperature,24.00
2020-12-13,Paya Lebar,Min Temperature,24.00
2020-12-14,Paya Lebar,Min Temperature,24.00
2020-12-18,Paya Lebar,Min Temperature,24.00
2020-12-26,Paya Lebar,Min Temperature,24.00
2020-12-27,Paya Lebar,Min Temperature,24.00
2020-12-30,Paya Lebar,Min Humidity,49.36
