Date,Station,Category,Value
2005-01-01,Changi,Max Humidity,100.00
2005-01-02,Changi,Max Humidity,100.00
2005-01-03,Changi,Max Humidity,100.00
2005-01-05,Changi,Max Humidity,100.00
2005-01-08,Changi,Max Humidity,100.00
2005-01-10,Changi,Max Humidity,100.00
2005-01-12,Changi,Max Humidity,100.00
2005-01-17,Changi,Max Humidity,100.00
2005-01-20,Changi,Min Temperature,23.00
2005-01-21,Changi,Min Temperature,23.00
2005-01-22,Changi,Max Humidity,100.00
2005-01-26,Changi,Max Temperature,32.00
2005-01-26,Changi,Min Humidity,52.23
2005-01-26,Changi,Min Temperature,23.00
2005-01-28,Changi,Max Temperature,32.00
2005-01-29,Changi,Max Temperature,32.00
2005-01-29,Changi,Min Humidity,52.23
2005-01-30,Changi,Max Temperature,32.00
2005-01-31,Changi,Max Temperature,32.00
2005-02-07,Changi,Min Temperature,24.00
2005-02-17,Changi,Max Humidity,100.00
2005-02-19,Changi,Max Temperature,35.00
2005-02-22,Changi,Min Humidity,43.88
2005-02-28,Changi,Max Humidity,100.00
2005-03-02,Changi,Max Humidity,100.00
2005-03-03,Changi,Max Humidity,100.00
2005-03-03,Changi,Min Temperature,23.00
2005-03-05,Changi,Min Humidity,52.23
2005-03-07,Changi,Max Humidity,100.00
2005-03-11,Changi,Max Humidity,100.00
2005-03-14,Changi,Max Humidity,100.00
2005-03-25,Changi,Max Temperature,35.00
2005-03-27,Changi,Max Humidity,100.00
2005-03-28,Changi,Max Humidity,100.00
2005-03-29,Changi,Max Humidity,100.00
2005-03-30,Changi,Max Humidity,100.00
2005-03-31,Changi,Max Humidity,100.00
2005-04-01,Changi,Max Humidity,100.00
2005-04-02,Changi,Max Humidity,100.00
2005-04-04,Changi,Max Humidity,100.00
2005-04-04,Changi,Min Temperature,23.00
2005-04-05,Changi,Max Humidity,100.00
2005-04-09,Changi,Max Humidity,100.00
2005-04-10,Changi,Max Humidity,100.00
2005-04-13,Changi,Max Humidity,100.00
2005-04-14,Changi,Max Humidity,100.00
2005-04-25,Changi,Max Temperature,35.00
2005-04-25,Changi,Min Humidity,43.88
2005-04-26,Changi,Min Humidity,43.88
2005-04-27,Changi,Max Temperature,35.00
2005-04-29,Changi,Max Temperature,35.00
2005-04-30,Changi,Max Temperature,35.00
2005-05-01,Changi,Max Humidity,100.00
2005-05-01,Changi,Max Temperature,35.00
2005-05-03,Changi,Max Temperature,35.00
2005-05-03,Changi,Min Humidity,49.62
2005-05-04,Changi,Max Temperature,35.00
2005-05-05,Changi,Max Humidity,100.00
2005-05-06,Changi,Max Humidity,100.00
2005-05-08,Changi,Max Humidity,100.00
2005-05-09,Changi,Max Humidity,100.00
2005-05-10,Changi,Max Humidity,100.00
2005-05-11,Changi,Max Humidity,100.00
2005-05-12,Changi,Max Humidity,100.00
2005-05-12,Changi,Min Temperature,23.00
2005-05-15,Changi,Max Humidity,100.00
2005-05-17,Changi,Max Humidity,100.00
2005-05-18,Changi,Max Humidity,100.00
2005-05-19,Changi,Max Humidity,100.00
2005-05-20,Changi,Max Humidity,100.00
2005-05-21,Changi,Max Humidity,100.00
2005-05-22,Changi,Max Humidity,100.00
2005-05-24,Changi,Max Humidity,100.00
2005-05-25,Changi,Max Humidity,100.00
2005-05-26,Changi,Max Humidity,100.00
2005-05-29,Changi,Max Humidity,100.00
2005-05-30,Changi,Max Humidity,100.00
2005-06-01,Changi,Max Humidity,100.00
2005-06-02,Changi,Max Temperature,33.00
2005-06-03,Changi,Max Temperature,33.00
2005-06-06,Changi,Max Humidity,100.00
2005-06-06,Changi,Max Temperature,33.00
2005-06-07,Changi,Max Humidity,100.00
2005-06-09,Changi,Max Temperature,33.00
2005-06-10,Changi,Max Temperature,33.00
2005-06-11,Changi,Max Humidity,100.00
2005-06-11,Changi,Max Temperature,33.00
2005-06-14,Changi,Max Temperature,33.00
2005-06-15,Changi,Max Humidity,100.00
2005-06-16,Changi,Max Humidity,100.00
2005-06-16,Changi,Max Temperature,33.00
2005-06-18,Changi,Max Humidity,100.00
2005-06-18,Changi,Max Temperature,33.00
2005-06-19,Changi,Max Temperature,33.00
2005-06-20,Changi,Max Temperature,33.00
2005-06-20,Changi,Min Humidity,52.48
2005-06-21,Changi,Max Humidity,100.00
2005-06-21,Changi,Min Temperature,24.00
2005-06-23,Changi,Max Humidity,100.00
2005-06-23,Changi,Max Temperature,33.00
2005-06-23,Changi,Min Humidity,52.48
2005-06-29,Changi,Max Humidity,100.00
2005-06-29,Changi,Min Temperature,24.00
2005-06-30,Changi,Max Humidity,100.00
2005-07-04,Changi,Max Humidity,100.00
2005-07-04,Changi,Min Temperature,23.00
2005-07-09,Changi,Max Humidity,100.00
2005-07-09,Changi,Max Temperature,34.00
2005-07-10,Changi,Max Temperature,34.00
2005-07-13,Changi,Max Humidity,100.00
2005-07-13,Changi,Min Humidity,55.53
2005-07-14,Changi,Max Humidity,100.00
2005-07-15,Changi,Max Humidity,100.00
2005-07-16,Changi,Max Humidity,100.00
2005-07-17,Changi,Max Humidity,100.00
2005-07-18,Changi,Max Humidity,100.00
2005-07-19,Changi,Max Humidity,100.00
2005-07-20,Changi,Max Humidity,100.00
2005-07-20,Changi,Min Humidity,55.53
2005-07-24,Changi,Max Humidity,100.00
2005-07-26,Changi,Max Humidity,100.00
2005-07-27,Changi,Max Humidity,100.00
2005-07-30,Changi,Max Humidity,100.00
2005-07-30,Changi,Min Temperature,23.00
2005-07-31,Changi,Max Humidity,100.00
2005-08-04,Changi,Max Humidity,100.00
2005-08-04,Changi,Min Temperature,23.00
2005-08-05,Changi,Max Humidity,100.00
2005-08-11,Changi,Max Humidity,100.00
2005-08-12,Changi,Max Humidity,100.00
2005-08-15,Changi,Max Temperature,33.00
2005-08-16,Changi,Max Temperature,33.00
2005-08-17,Changi,Max Humidity,100.00
2005-08-17,Changi,Max Temperature,33.00
2005-08-17,Changi,Min Humidity,55.77
2005-08-18,Changi,Max Humidity,100.00
2005-08-20,Changi,Max Humidity,100.00
2005-08-23,Changi,Max Humidity,100.00
2005-08-24,Changi,Max Humidity,100.00
2005-08-25,Changi,Max Humidity,100.00
2005-08-27,Changi,Max Humidity,100.00
2005-08-28,Changi,Max Temperature,33.00
2005-08-29,Changi,Max Temperature,33.00
2005-08-31,Changi,Max Temperature,33.00
2005-09-01,Changi,Max Humidity,100.00
2005-09-01,Changi,Max Temperature,33.00
2005-09-02,Changi,Max Humidity,100.00
2005-09-03,Changi,Max Humidity,100.00
